id,label,source,target,weight
1,AliceInTech,1,2,8
2,BobInTech,1,3,7
3,CharlieInTech,1,4,6
4,DavidInTech,2,3,9
5,EvaInTech,2,4,5
6,FrankInTech,3,4,8
7,GraceInTech,4,5,2
8,MarketingJane,8,9,7
9,MarketingJohn,8,10,8
10,MarketingKate,8,11,6
11,MarketingLee,9,10,9
12,MarketingMike,9,11,5
13,MarketingNancy,10,11,8
14,MarketingOliver,11,12,2
15,SalesAdam,15,16,7
16,SalesBeth,15,17,6
17,SalesCarl,15,18,9
18,SalesDiana,16,17,8
19,SalesEdward,16,18,5
20,SalesFiona,17,18,7
21,SalesGeorge,18,19,3
22,TechToMarketing,5,8,1
23,MarketingToSales,12,15,1
24,NeutralPerson,5,19,1 
