source,target,weight,timestamp
user1,user3,4,2024-07-25T04:07:28.888099
user1,user5,4,2025-02-04T04:07:28.888120
user1,user8,3,2025-04-18T04:07:28.888127
user1,user9,4,2024-08-16T04:07:28.888131
user1,user14,5,2024-10-17T04:07:28.888134
user1,user17,3,2025-02-26T04:07:28.888138
user1,user18,4,2025-02-17T04:07:28.888141
user1,user27,5,2025-02-11T04:07:28.888143
user1,user75,2,2024-11-21T04:07:28.888146
user1,user116,2,2024-06-16T04:07:28.888149
user2,user1,5,2024-07-26T04:07:28.888153
user2,user4,3,2024-06-10T04:07:28.888155
user2,user7,3,2024-04-30T04:07:28.888164
user2,user8,3,2024-08-12T04:07:28.888167
user2,user10,3,2025-02-04T04:07:28.888170
user2,user11,4,2025-03-03T04:07:28.888172
user2,user14,3,2025-01-11T04:07:28.888175
user2,user17,5,2024-06-05T04:07:28.888178
user2,user19,4,2025-03-10T04:07:28.888180
user2,user21,5,2024-09-27T04:07:28.888183
user2,user26,4,2024-12-24T04:07:28.888185
user2,user27,4,2024-06-02T04:07:28.888188
user2,user108,1,2025-02-21T04:07:28.888190
user3,user6,3,2025-02-18T04:07:28.888193
user3,user15,5,2024-10-31T04:07:28.888196
user3,user16,4,2025-03-11T04:07:28.888198
user3,user23,3,2024-12-29T04:07:28.888201
user3,user28,4,2025-02-16T04:07:28.888204
user3,user73,1,2025-01-17T04:07:28.888206
user3,user158,2,2024-10-07T04:07:28.888209
user3,user193,1,2025-02-17T04:07:28.888211
user4,user3,4,2024-10-29T04:07:28.888214
user4,user10,3,2024-09-06T04:07:28.888216
user4,user16,4,2024-09-30T04:07:28.888220
user4,user27,5,2024-10-11T04:07:28.888222
user4,user63,1,2024-04-25T04:07:28.888225
user4,user70,2,2024-11-21T04:07:28.888227
user4,user111,2,2025-04-08T04:07:28.888230
user5,user7,4,2024-08-10T04:07:28.888232
user5,user12,4,2024-10-21T04:07:28.888235
user5,user16,4,2024-09-05T04:07:28.888237
user5,user20,3,2024-07-05T04:07:28.888240
user5,user23,3,2025-02-09T04:07:28.888242
user5,user27,3,2024-11-19T04:07:28.888247
user5,user98,2,2025-02-11T04:07:28.888250
user5,user144,1,2024-12-10T04:07:28.888252
user5,user156,2,2024-07-10T04:07:28.888255
user6,user1,5,2025-01-04T04:07:28.888257
user6,user7,5,2025-02-26T04:07:28.888260
user6,user10,4,2024-09-17T04:07:28.888263
user6,user21,4,2025-01-01T04:07:28.888265
user6,user32,2,2024-12-13T04:07:28.888268
user6,user49,1,2025-01-18T04:07:28.888270
user6,user169,2,2025-03-13T04:07:28.888273
user7,user2,4,2024-05-02T04:07:28.888276
user7,user10,4,2024-10-26T04:07:28.888278
user7,user21,5,2024-05-28T04:07:28.888281
user7,user22,4,2024-11-29T04:07:28.888284
user7,user25,5,2024-08-28T04:07:28.888287
user7,user26,5,2024-08-22T04:07:28.888290
user7,user45,1,2024-12-18T04:07:28.888292
user7,user94,1,2025-02-03T04:07:28.888294
user8,user2,3,2024-07-18T04:07:28.888297
user8,user5,4,2024-12-19T04:07:28.888300
user8,user9,5,2024-11-11T04:07:28.888302
user8,user15,4,2025-03-22T04:07:28.888306
user8,user16,5,2024-10-04T04:07:28.888309
user8,user68,1,2024-06-27T04:07:28.888311
user8,user122,1,2024-06-14T04:07:28.888314
user8,user156,1,2024-12-14T04:07:28.888316
user9,user16,4,2024-08-11T04:07:28.888319
user9,user20,3,2025-03-30T04:07:28.888322
user9,user22,5,2024-05-19T04:07:28.888325
user9,user23,5,2025-03-08T04:07:28.888327
user9,user26,5,2024-12-16T04:07:28.888330
user10,user1,4,2024-11-29T04:07:28.888332
user10,user2,5,2024-06-15T04:07:28.888335
user10,user4,5,2024-06-06T04:07:28.888339
user10,user5,3,2025-01-28T04:07:28.888342
user10,user6,4,2025-02-28T04:07:28.888345
user10,user9,5,2025-01-30T04:07:28.888347
user10,user15,3,2024-12-26T04:07:28.888350
user10,user17,5,2024-10-16T04:07:28.888352
user10,user19,3,2024-12-02T04:07:28.888355
user10,user21,3,2025-03-28T04:07:28.888357
user10,user23,5,2024-08-29T04:07:28.888360
user10,user24,5,2024-11-25T04:07:28.888362
user10,user25,4,2024-07-19T04:07:28.888365
user10,user27,4,2025-03-19T04:07:28.888367
user10,user28,4,2025-03-03T04:07:28.888370
user11,user7,5,2024-10-09T04:07:28.888373
user11,user8,5,2025-02-26T04:07:28.888375
user11,user12,3,2024-08-24T04:07:28.888377
user11,user14,5,2024-08-24T04:07:28.888380
user11,user20,5,2025-03-26T04:07:28.888384
